Name,Peak CCU,Price,Reviews,Metacritic score,User score,Positive,Negative,Achievements,Recommendations,Categories,Genres,Tags
ENDLESS DAYS Z,0,5.99,,0,0,0,0,1,0,"Single-player,Family Sharing","Action,Adventure,Indie",
The Most Boring Life Ever 2 - Work From Home,0,2.99,,0,0,0,0,11,0,"Single-player,Steam Achievements,Family Sharing",Simulation,
The Tribe Game,0,19.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Adventure,Indie,RPG",
Dream Team Basketball,0,0,,0,0,0,0,0,0,"Single-player,Multi-player,PvP,Online PvP,In-App Purchases,Partial Controller Support","Indie,Sports,Strategy,Free To Play",
Starmancer,0,14.99,â€œStarmancer Is Your Next Space Colony Sim Obsessionâ€ Variety,0,0,0,0,0,813,"Single-player,Family Sharing","Indie,Simulation,Strategy,Early Access",
Propulsion,0,3.99,,0,0,0,0,24,0,"Single-player,Steam Achievements,Steam Cloud,Family Sharing","Action,Casual",
The Absolute Destroyer,0,6.99,,0,0,0,0,0,0,"Single-player,Partial Controller Support,Remote Play Together,Family Sharing","Action,Adventure,Casual,Indie,Simulation,Strategy",
Momodora: Reverie Under The Moonlight,0,9.99,,82,0,0,0,9,9596,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV,Family Sharing","Action,Adventure,Indie",
SHIRIME: The Curse of Butt-Eye,0,3.99,,0,0,0,0,8,0,"Single-player,Steam Achievements,Full controller support,Family Sharing","Action,Adventure",
Butterfly's Poison; Blood Chains,0,44.99,,0,0,0,0,27,0,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",Adventure,
Galactic Campaign,0,11.99,,0,0,0,0,24,0,"Single-player,Steam Achievements,Family Sharing",Casual,
Rift Adventure,0,7.99,,0,0,0,0,39,0,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Family Sharing","Action,Adventure",
Lewd Delivery,0,0.79,,0,0,0,0,0,0,"Single-player,Family Sharing","Adventure,Casual,Simulation",
Knife To Meet You,0,14.99,,0,0,0,0,40,0,"Single-player,Family Sharing","Action,Indie,Simulation,Sports",
In Between,0,1.19,,68,0,0,0,16,134,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV,Family Sharing",Indie,
Mystery Case FilesÂ®: Escape from Ravenhearstâ„¢,0,9.99,"â€œItâ€™s a big, long, highly polished and incredibly challenging game, and for players looking for that sort of hardcore adventure experienceâ€ Gamezeebo",0,0,0,0,0,0,"Single-player,Steam Trading Cards,Family Sharing","Adventure,Casual",
The Last One,0,8.99,,0,0,0,0,5,119,"Single-player,Multi-player,PvP,Online PvP,Steam Achievements,Partial Controller Support,Family Sharing","Action,Adventure,Indie,Early Access",
Lunatic Taxi Driver,0,9.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Action,Adventure,Casual,Racing,Simulation,Sports",
Power Solenoid,0,7.99,,0,0,0,0,9,0,"Single-player,Steam Achievements,Full controller support,Family Sharing","Action,Adventure,Indie",
The Road of Heroes,0,5.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Action,Adventure,RPG",
Inner Call,0,29.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Action,Adventure,Indie",
Final Hope,0,29.99,,0,0,0,0,30,0,"Multi-player,MMO,Steam Achievements,Steam Workshop,In-App Purchases,Family Sharing","Action,Indie,Massively Multiplayer,RPG,Early Access",
Befriended Curse,0,3.99,,0,0,0,0,7,0,"Single-player,Steam Achievements,Family Sharing","Adventure,Indie",
